playlist,song_id,description
Playlist 5,12,hxtvqgjfvr
Playlist 1,49,zjwvjm
Playlist 4,10,bbocxpa
Playlist 5,9,hkeytfzm
Playlist 5,11,furywcbp
Playlist 1,30,lalwlupque
Playlist 9,11,rcfyrrm
Playlist 3,49,ufivuv
Playlist 3,46,vgosajq
Playlist 6,14,rsimvqt
Playlist 9,34,dvqip
Playlist 4,27,ezrmxtxq
Playlist 8,3,fwmerbvpu
Playlist 4,33,rviswlonm
Playlist 8,19,tptrq
Playlist 2,46,sqymihft
Playlist 6,46,vqqbkilnx
Playlist 4,35,pjddhhbdjy
Playlist 1,9,tpzogs
Playlist 10,20,idtjwvhm
Playlist 2,27,yyzbgjiw
Playlist 2,28,zlrxeabpo
Playlist 6,29,cardw
Playlist 9,43,wpkdxvnjtb
Playlist 3,38,wlhmjmao
Playlist 4,43,txxrddgrli
Playlist 10,48,lpnqnvwad
Playlist 2,27,bfxpcdue
Playlist 1,48,rgvgsg
Playlist 4,33,mwfhiev
Playlist 1,16,bsloknruq
Playlist 1,28,ojcoz
Playlist 2,29,qfuwr
Playlist 2,42,onydzcvh
Playlist 7,7,nmitgfoej
Playlist 7,36,zboryhboxw
Playlist 2,18,pbgqct
Playlist 4,44,mlswxpg
Playlist 6,44,geqfwpjcby
Playlist 7,39,iqyoldjp
Playlist 3,2,ocmrxrxc
Playlist 9,26,xsibvgi
Playlist 1,38,moddkpok
Playlist 5,37,sercgsbogq
Playlist 6,42,zbobgdl
Playlist 9,20,vadpj
Playlist 2,16,mancxhhmbi
Playlist 2,11,jipvwa
Playlist 6,27,kkyciqv
Playlist 6,26,usfzirsmf
Playlist 2,33,ifchwf
Playlist 1,13,tbzcjie
Playlist 5,41,wicfxfehnx
Playlist 7,21,bjfwwgxbt
Playlist 5,20,rdudvsaude
Playlist 10,14,rtydx
Playlist 4,33,ihhsy
Playlist 4,40,cbkhcxs
Playlist 4,19,rdkxhgwyi
Playlist 7,18,ginra
Playlist 5,15,naozqxqyh
Playlist 2,46,ymaguko
Playlist 8,45,njdzjisxug
Playlist 6,16,wudmfiue
Playlist 3,35,xjmkegl
Playlist 8,30,hslldxkaa
Playlist 6,11,junka
Playlist 8,26,ngeyp
Playlist 5,12,yfnkl
Playlist 1,19,rqfimabmeb
Playlist 10,26,pqgei
Playlist 5,39,pqdfrcytea
Playlist 1,3,flbqgibo
Playlist 2,40,gxwpxa
Playlist 9,5,jwhbr
Playlist 8,14,lzxjq
Playlist 8,11,arcxesx
Playlist 7,24,nbioii
Playlist 2,3,fxsmrfamqo
Playlist 2,21,evdwg
Playlist 1,38,blvfh
Playlist 7,18,wljgqvim
Playlist 8,32,xlckjyvkeu
Playlist 9,49,rqswnrvhfo
Playlist 5,33,rinsd
Playlist 9,33,iowcmk
Playlist 8,8,rlfjxwgrbp
Playlist 1,32,reisd
Playlist 1,11,pkfdqan
Playlist 7,30,xkktn
Playlist 6,23,nnythby
Playlist 8,12,lhdwosdhh
Playlist 5,23,brdfuf
Playlist 10,9,btpwd
Playlist 7,45,kyprpavz
Playlist 5,27,pszcpefxvu
Playlist 6,17,kfthskcnp
Playlist 10,5,kqsxbto
Playlist 8,46,quohvfw
Playlist 9,5,iraixv
Playlist 5,2,xvwqzz
Playlist 5,21,otvnfbouwc
Playlist 6,5,cudrdjda
Playlist 6,35,xhvxscwl
Playlist 10,37,rocgaebgxk
Playlist 10,7,fdgwq
Playlist 9,44,ehctvhqk
Playlist 8,6,gktszap
Playlist 4,9,dydfwqakr
Playlist 4,11,mvfknbwt
Playlist 4,29,pdgiwkyaev
Playlist 10,48,ozeyzlifuj
Playlist 9,1,unjypmgje
Playlist 5,43,vqxmnohimd
Playlist 6,26,pdnygcxn
Playlist 1,48,hedroccz
Playlist 8,16,betpjcfii
Playlist 7,9,roeine
Playlist 9,19,zzqztld
Playlist 7,46,iqodrgnhp
Playlist 8,27,ieyxkxikn
Playlist 2,24,ibdjxrepji
Playlist 7,10,pfjyrybkow
Playlist 10,1,wlhfencn
Playlist 9,32,qwlhtr
Playlist 3,1,wkmeokr
Playlist 4,24,jqzogodm
Playlist 4,19,tihuwpcdqo
